Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB Designs\Frequency_Voltage_Board\Project Outputs for Frequency_Voltage_Board\Pick Place for Layout.csv

========================================================================================================================
File Design Information:

Date:       16/03/23
Time:       18:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","2 PIN","TopLayer","2_PIN_100MIL","3250.000","1790.000","180","2.54mm Straight 2 1 Header,Breakaway Through Hole,P=2.54mm Pin Header & Female Header ROHS"
"J3","2 PIN","TopLayer","2_PIN_100MIL","1830.000","1040.000","270","2.54mm Straight 2 1 Header,Breakaway Through Hole,P=2.54mm Pin Header & Female Header ROHS"
"J2","2 PIN","TopLayer","2_PIN_100MIL","690.000","1130.000","0","2.54mm Straight 2 1 Header,Breakaway Through Hole,P=2.54mm Pin Header & Female Header ROHS"
"J1","2 PIN","TopLayer","2_PIN_100MIL","1830.000","1420.000","90","2.54mm Straight 2 1 Header,Breakaway Through Hole,P=2.54mm Pin Header & Female Header ROHS"
"C10","1uF","TopLayer","0402_Passive_Capacitor","640.000","400.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C9","1uF","TopLayer","0402_Passive_Capacitor","3330.000","1599.685","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C8","1uF","TopLayer","0402_Passive_Capacitor","2009.685","1130.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C7","22pF","TopLayer","0402_Passive_Capacitor","2050.000","600.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"C6","22pF","TopLayer","0402_Passive_Capacitor","2860.000","1420.000","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"C5","22pF","TopLayer","0402_Passive_Capacitor","2810.315","1750.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"C4","1uF","TopLayer","0402_Passive_Capacitor","950.000","720.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C3","150pF","TopLayer","0402_Passive_Capacitor","760.000","810.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C2","1uF","TopLayer","0402_Passive_Capacitor","2010.000","1770.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C1","22uF","TopLayer","0805_Passive_Capaciitor","620.000","1757.401","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22UF 25V 0805 ROHS"
